draft_overall,osf_surplus,surplus,osf_fit
1,62,2.25,100
2,65,2.36,99
3,66,2.39,98
4,68,2.45,96
5,72,2.61,95
6,81,2.95,94
7,89,3.21,93
8,96,3.47,91
9,94,3.41,90
10,95,3.43,89
11,96,3.5,88
12,100,3.62,87
13,99,3.6,86
14,100,3.61,85
15,99,3.58,83
16,100,3.61,82
17,99,3.57,81
18,98,3.54,80
19,97,3.5,79
20,95,3.44,78
21,93,3.39,77
22,92,3.33,76
23,91,3.28,75
24,90,3.25,74
25,88,3.2,73
26,87,3.16,72
27,86,3.11,71
28,84,3.06,70
29,85,3.06,69
30,84,3.04,68
31,83,3.01,67
32,82,2.97,66
33,87,3.15,65
34,86,3.1,64
35,84,3.05,63
36,83,3.01,62
37,82,2.96,62
38,81,2.92,61
39,80,2.88,60
40,78,2.84,59
41,77,2.8,58
42,76,2.77,57
43,75,2.73,57
44,74,2.69,56
45,73,2.66,55
46,72,2.63,54
47,72,2.6,53
48,71,2.57,53
49,70,2.54,52
50,69,2.51,51
51,68,2.48,50
52,68,2.45,50
53,67,2.42,49
54,66,2.39,48
55,65,2.37,48
56,64,2.33,47
57,63,2.29,46
58,62,2.26,46
59,62,2.23,45
60,61,2.19,44
61,60,2.16,44
62,59,2.12,43
63,58,2.09,42
64,57,2.05,42
65,56,2.05,41
66,55,2.01,41
67,54,1.97,40
68,54,1.94,39
69,53,1.91,39
70,52,1.88,38
71,51,1.85,38
72,50,1.82,37
73,49,1.79,37
74,49,1.76,36
75,48,1.74,36
76,47,1.72,36
77,47,1.69,35
78,46,1.67,35
79,45,1.64,34
80,45,1.62,34
81,44,1.6,34
82,44,1.58,33
83,43,1.56,33
84,42,1.54,33
85,42,1.52,32
86,41,1.5,32
87,41,1.48,32
88,40,1.46,31
89,40,1.44,31
90,39,1.42,31
91,39,1.4,30
92,38,1.38,30
93,38,1.36,30
94,37,1.34,29
95,36,1.32,29
96,36,1.3,29
97,35,1.28,28
98,35,1.26,28
99,34,1.24,28
100,34,1.22,27
101,33,1.2,27
102,33,1.18,27
103,32,1.16,26
104,32,1.15,26
105,32,1.17,26
106,32,1.16,26
107,32,1.14,25
108,31,1.13,25
109,31,1.11,25
110,30,1.1,25
111,30,1.08,24
112,29,1.07,24
113,29,1.05,24
114,29,1.04,24
115,28,1.02,23
116,28,1.01,23
117,28,1,23
118,27,0.98,23
119,27,0.97,23
120,26,0.96,22
121,26,0.94,22
122,26,0.93,22
123,25,0.92,22
124,25,0.9,21
125,25,0.89,21
126,24,0.88,21
127,24,0.87,21
128,24,0.85,21
129,23,0.84,20
130,23,0.83,20
131,22,0.81,20
132,22,0.8,20
133,22,0.79,20
134,22,0.78,19
135,21,0.77,19
136,21,0.76,19
137,21,0.77,19
138,21,0.76,19
139,21,0.77,19
140,21,0.76,19
141,21,0.75,18
142,21,0.74,18
143,20,0.74,18
144,20,0.73,18
145,20,0.72,18
146,20,0.72,18
147,20,0.71,18
148,19,0.7,18
149,19,0.69,17
150,19,0.69,17
151,19,0.68,17
152,19,0.67,17
153,18,0.66,17
154,18,0.66,17
155,18,0.65,17
156,18,0.64,17
157,17,0.63,16
158,17,0.62,16
159,17,0.61,16
160,17,0.6,16
161,16,0.59,16
162,16,0.59,16
163,16,0.58,16
164,16,0.57,15
165,15,0.56,15
166,15,0.55,15
167,15,0.54,15
168,15,0.53,15
169,14,0.52,15
170,14,0.52,15
171,14,0.51,14
172,14,0.5,14
173,14,0.49,14
174,13,0.48,14
175,13,0.47,14
176,13,0.46,14
177,13,0.45,14
178,12,0.45,13
179,12,0.44,13
180,12,0.43,13
181,12,0.42,13
182,11,0.42,13
183,11,0.41,13
184,11,0.4,13
185,11,0.39,12
186,11,0.39,12
187,10,0.38,12
188,10,0.37,12
189,10,0.36,12
190,10,0.36,12
191,10,0.35,12
192,9,0.34,12
193,9,0.34,12
194,9,0.33,11
195,9,0.32,11
196,9,0.31,11
197,8,0.31,11
198,8,0.3,11
199,8,0.29,11
200,8,0.29,11
201,8,0.28,11
202,8,0.28,11
203,7,0.27,11
204,7,0.26,10
205,7,0.26,10
206,7,0.25,10
207,7,0.25,10
208,7,0.24,10
209,6,0.23,10
210,6,0.23,10
211,6,0.23,10
212,6,0.22,10
213,6,0.21,10
214,6,0.21,9
215,6,0.2,9
216,5,0.2,9
217,5,0.19,9
218,5,0.19,9
219,5,0.18,9
220,5,0.18,9
221,5,0.17,9
222,5,0.17,9
223,5,0.16,9
224,4,0.16,9
225,4,0.16,9
226,4,0.15,9
227,4,0.15,8
228,4,0.14,8
229,4,0.14,8
230,4,0.13,8
231,4,0.13,8
232,4,0.13,8
233,3,0.12,8
234,3,0.12,8
235,3,0.12,8
236,3,0.11,8
237,3,0.11,8
238,3,0.11,8
239,3,0.1,8
240,3,0.1,8
241,3,0.1,8
242,3,0.09,8
243,3,0.09,8
244,2,0.09,8
245,2,0.08,7
246,2,0.08,7
247,2,0.08,7
248,2,0.08,7
249,2,0.07,7
250,2,0.07,7
251,2,0.07,7
252,2,0.07,7
253,2,0.07,7
254,2,0.06,7
255,2,0.06,7
256,2,0.06,7
