"coach","estimate","grade"
"Bill Belichick",9.6283784227235,100
"Sean McVay",6.86611206059538,82.798028126748
"Sean Payton",6.51687980322114,80.6231895409587
"John Harbaugh",6.1994290966542,78.6462700807727
"Andy Reid",5.94093280980618,77.0364883751902
"Pete Carroll",5.66484713207567,75.3171690046756
"Mike Tomlin",5.62349831909164,75.059669898979
"Jim Harbaugh",5.53494227721329,74.5081884913626
"Matt LaFleur",5.29780702190933,73.0314322857255
"Bruce Arians",4.87744989059493,70.4136646262663
"Mike McCarthy",4.81502119907926,70.0248908967448
"Mike Zimmer",4.46882438933837,67.8689555150517
"Doug Pederson",3.87261482728617,64.1560695104289
"Marvin Lewis",3.58640631393753,62.3737103346413
"Matt Nagy",3.58520284887304,62.3662157742058
"Frank Reich",3.36010442395321,60.9644187472164
"Jason Garrett",3.24544611593459,60.2503858731197
"Mike Vrabel",3.09398309869455,59.307152230585
"Dan Quinn",2.97555335508581,58.5696327985544
"Mike Smith",2.56156934137553,55.99155363231
"Ron Rivera",2.50834335017648,55.6600895794275
"Norv Turner",2.28455610282596,54.2664578908635
"Gary Kubiak",2.22773282904318,53.9125918152529
"Anthony Lynn",2.1952016688184,53.7100045083721
"Joe Vitt",2.01866321540632,52.6106139674098
"Gregg Williams",2.01334542506403,52.5774975087112
"Mike McCoy",1.84746397272494,51.5444732802901
"Kyle Shanahan",1.75072254587735,50.9420175119302
"Tom Cable",1.57147520850576,49.8257574371972
"Sean McDermott",1.51057484087871,49.4465013215111
"Jim Schwartz",1.38939933316243,48.6918826851474
"John Fox",1.38368566751572,48.656300918995
"Bill O'Brien",1.36094265225162,48.5146691363943
"Tom Coughlin",0.9887259050453,46.1966949887949
"Chuck Pagano",0.842823851741212,45.2880921648251
"Ben McAdoo",0.769069545098956,44.8287883388849
"Doug Marrone",0.595557609077291,43.7482453890664
"Chip Kelly",0.482844081542648,43.0463236059361
"Dirk Koetter",0.475797403238648,43.002440523679
"Jim Caldwell",0.420367906578,42.6572541739563
"Lovie Smith",0.322498781707796,42.047775683265
"Kliff Kingsbury",0.159661318495642,41.0337078509618
"Joe Philbin",0.059778047188409,40.4116862938837
"Rex Ryan",0.0422434816447274,40.3024900529174
"Aaron Kromer",-0.0234056395408465,39.8936611464727
"Kevin Stefanski",-0.149358138880315,39.109293867231
"Greg Schiano",-0.310132785585284,38.1080721934384
"Matt Rhule",-0.711739080221166,35.6070750849897
"Jay Gruden",-0.867851497663503,34.6348873732154
"Jack Del Rio",-0.898679263922761,34.4429079264186
"Vance Joseph",-0.909586257875779,34.3749847870089
"Marc Trestman",-0.975327567716155,33.9655817771146
"Jeff Fisher",-0.988679932329724,33.8824301290067
"Freddie Kitchens",-1.11984425561982,33.0656062951632
"Todd Bowles",-1.18166096758532,32.6806436590081
"Rob Chudzinski",-1.27183807985305,32.1190670601296
"Eric Mangini",-1.61201114131188,30.0006444794974
"Mike Munchak",-1.67333776815384,29.6187338410157
"Joe Judge",-1.97056049735574,27.7677838030609
"Matt Patricia",-2.06718737575564,27.1660413834216
"Leslie Frazier",-2.11581027057261,26.8632430434407
"Mike Shanahan",-2.19901279407714,26.3451005902973
"Brian Flores",-2.23555654030547,26.1175249649406
"Brad Childress",-2.34616918967685,25.4286863687068
"Mike Mularkey",-2.37202223349613,25.2676869304503
"Mel Tucker",-2.54500192164282,24.1904585462004
"Darrell Bevell",-2.58528366099021,23.9396046253911
"Raheem Morris",-2.63706672976072,23.6171263500467
"Pat Shurmur",-2.87945364902299,22.1076654867643
"Jim Tomsula",-2.93141743188298,21.7840618171687
"Todd Haley",-2.95386708953107,21.6442569146722
"Tony Sparano",-3.00352829988395,21.3349924804401
"Josh McDaniels",-3.03248034249869,21.1546940741893
"Vic Fangio",-3.05349954013175,21.0237973397398
"Mike Singletary",-3.20655812749977,20.0706273084341
"Mike Pettine",-3.21863761173336,19.995402503586
"Bill Callahan",-3.49400988322019,18.2805258596332
"Eric Studesville",-3.62308541204963,17.4767099616115
"Jon Gruden",-3.92881738021701,15.5727687670637
"Adam Gase",-4.33201937250652,13.06183447568
"Chan Gailey",-4.38271475550394,12.74612974699
"Gus Bradley",-4.62642000505047,11.2284590018582
"Romeo Crennel",-4.69547391025804,10.7984268545589
"Wade Phillips",-4.82215499512405,10.0095223200015
"Dennis Allen",-4.88337660791116,9.6282656549536
"Steve Wilks",-5.07778622500776,8.41758271320825
"Ken Whisenhunt",-5.44775745063445,6.11359251718685
"Hue Jackson",-5.49334341336698,5.82970662569884
"Zac Taylor",-5.81406207387104,3.83243603193634
"Steve Spagnuolo",-6.26889032446614,1
